City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Asyut,EG,2021-07-27 22:16:54,27.181,31.1837,82.58,23,0,9.78
276,Morondava,MG,2021-07-27 22:16:54,-20.2833,44.2833,66.24,53,0,9.57
277,Biltine,TD,2021-07-27 22:16:55,14.5333,20.9167,82.72,61,100,3.67
278,Port-Gentil,GA,2021-07-27 22:16:55,-0.7193,8.7815,76.05,80,72,11.86
279,Meulaboh,ID,2021-07-27 22:16:55,4.1363,96.1285,76.53,90,41,4.07
280,Hermosillo,MX,2021-07-27 22:14:59,29.0667,-110.9667,103.39,38,75,1.01
281,Saint George,US,2021-07-27 22:16:24,37.1041,-113.5841,95.54,29,1,3.0
282,Evansville,US,2021-07-27 22:16:56,37.9748,-87.5558,92.17,50,1,1.99
283,Van Buren,US,2021-07-27 22:16:56,35.4368,-94.3483,98.37,50,40,8.05
284,Sinop,TR,2021-07-27 22:16:57,41.7711,34.8709,63.23,91,4,4.63
285,Goma,CD,2021-07-27 22:16:57,-1.6792,29.2228,64.4,67,82,1.77
286,Frontera,MX,2021-07-27 22:16:57,26.9333,-101.45,99.25,15,0,14.79
287,Tshane,BW,2021-07-27 22:16:58,-24.0196,21.8684,48.09,44,0,9.93
288,Santa Fe,AR,2021-07-27 22:16:58,-31.6333,-60.7,53.01,33,2,5.99
289,Cherskiy,RU,2021-07-27 22:16:58,68.75,161.3,37.67,80,100,18.16
290,Kibondo,TZ,2021-07-27 22:16:58,-3.5864,30.7203,61.2,44,11,2.01
291,Maniitsoq,GL,2021-07-27 22:16:59,65.4167,-52.9,48.92,80,98,18.23
292,Mwinilunga,ZM,2021-07-27 22:16:59,-11.7358,24.4293,53.44,46,100,4.23
293,Bondo,CD,2021-07-27 22:16:59,3.8146,23.6866,71.42,80,97,1.54
294,Alofi,NU,2021-07-27 22:17:00,-19.0595,-169.9187,80.49,74,75,5.75
