City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,Ranau,MY,81.25,overcast clouds,5.9538,116.6641,The Second Room
119,Tecoanapa,MX,80.55,overcast clouds,16.5167,-98.75,Hotel Manglares
120,Daltenganj,IN,85.01,broken clouds,24.0333,84.0667,Hotel Galaxy Inn
122,Airai,TL,77.59,few clouds,-8.9266,125.4092,Juvinal Martin
123,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
125,Labuhan,ID,87.49,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
129,Puerto Colombia,CO,82.49,broken clouds,10.9878,-74.9547,Hotel El Emigrante
131,Ixtapa,MX,77.31,broken clouds,20.7,-105.2,Hotel Plaza Providencia
132,Auki,SB,80.42,scattered clouds,-8.7676,160.7034,Auki Motel
133,Norman Wells,CA,78.84,smoke,65.282,-126.8329,Heritage Hotel
137,Madras,IN,89.58,few clouds,13.0878,80.2785,City home
141,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
150,Biak,ID,82.51,few clouds,-0.9131,122.8766,Penginapan Kim
152,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
161,Hilo,US,76.24,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
164,Xining,CN,78.94,broken clouds,36.6167,101.7667,Super Leisure Hotel
167,Faanui,PF,77.9,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Nola,IT,79.16,clear sky,40.922,14.5329,Pamaran Hotel
173,Savannah Bight,HN,80.01,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
174,Bengkulu,ID,79.18,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
175,Abu Kamal,SY,88.16,clear sky,34.4506,40.9171,محطة التلفاز
177,Salinopolis,BR,76.87,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
178,Ayagoz,KZ,84.06,clear sky,47.9714,80.4392,Gostinitsa Nur
179,Dwarka,IN,82.74,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
187,Cabo San Lucas,MX,87.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
191,Sao Filipe,CV,75.25,few clouds,14.8961,-24.4956,Hotel Xaguate
193,Carson City,US,81.43,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
195,Matay,EG,81.64,clear sky,28.419,30.7792,Nag Aespen
196,Sola,VU,76.03,broken clouds,-13.8833,167.55,Leumerus Bungalows
199,Bafq,IR,87.66,broken clouds,31.6128,55.4107,Alamdar Hotel
204,Katsuura,JP,89.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
205,Soe,ID,83.39,scattered clouds,-9.8607,124.284,Dena Hotel
207,Erzin,TR,79.52,clear sky,36.9559,36.2,Artemis Otel
212,Port Blair,IN,83.35,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
218,Atuona,PF,77.43,few clouds,-9.8,-139.0333,Villa Enata
221,Boa Vista,BR,75.18,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
222,Kuala Terengganu,MY,87.75,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
228,Hambantota,LK,85.23,broken clouds,6.1241,81.1185,Bungalow 63
234,Manggar,ID,85.62,overcast clouds,-2.8833,108.2667,Guest Hotel
235,Dingle,PH,89.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
236,Uthal,PK,84.97,broken clouds,25.8072,66.6219,Al-Mustafa Hotel
248,Komsomolskiy,UZ,84.92,few clouds,40.4272,71.7189,Ikathouse
